source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
9927;6661;21;6514;6667;64;19;4612;6667;64
4153;5433;15;9026;6473;61;16;4485;6473;62
7638;6233;0;1869;3761;37;2;1571;3761;37
1664;8920;0;6;146;3;0;8;146;3
6913;2448;19;5390;4588;43;9;2768;4588;43
1680;1247;0;2401;3964;40;8;2010;3964;40
1288;1057;16;7127;6804;61;16;5434;6804;61
4213;8324;8;1341;2308;25;0;721;2308;25
2382;6306;18;8637;6724;59;16;4868;6724;59
7909;8081;16;7324;6535;65;10;3742;6535;65
7428;7198;16;8086;7612;72;18;5678;7612;72
8073;4212;0;2103;3043;30;8;1307;3043;30
9988;2086;16;6920;8018;70;18;5941;8018;74
5624;2659;0;2199;2796;26;10;1139;2796;26
1722;8609;0;2158;3887;38;8;1914;3887;38
4110;9273;8;3261;4607;39;10;2097;4607;39
3292;3857;29;8845;8484;80;26;6457;8484;80
6955;7809;8;1284;2128;22;8;751;2128;22
3227;1316;9;6084;6243;55;8;3517;6243;55
8552;5022;17;5213;4438;48;10;2491;4438;48
1153;4771;10;9207;10278;96;31;7025;10278;96
213;6821;18;6570;5087;43;12;3534;5087;43
2410;9819;19;9475;9356;84;16;5872;9356;84
2254;8696;8;4092;4016;35;8;2241;4016;35
208;533;10;5297;4535;41;8;1717;4535;41
796;2384;8;3524;4889;49;9;2990;4889;49
4766;3380;16;6652;8769;81;17;5947;8769;81
7511;5750;16;6745;5086;43;9;3657;5086;43
8486;4731;16;9187;8934;78;22;6806;8934;78
8649;8990;19;4805;5636;55;8;2367;5636;55
6910;5240;0;489;1345;15;3;273;1345;15
6174;6528;11;6939;7214;69;31;5720;7214;69
9076;1953;10;3077;4778;48;10;2691;4778;48
4232;9508;0;238;925;10;0;167;925;10
9427;602;9;3359;4093;33;10;1970;4093;33
3406;1962;8;5303;7545;70;17;4235;7545;70
670;5856;8;5225;4700;44;8;2821;4700;44
1748;915;16;4847;5868;49;8;4067;5868;49
5385;484;17;9648;8698;79;25;6652;8698;79
5014;6159;0;1999;4065;36;8;1725;4065;36
1335;2615;6;1261;2227;20;0;778;2227;20
2799;3508;9;4985;6269;61;19;3570;6269;61
4957;9999;11;4681;5054;53;10;3523;5054;53
7430;4407;11;3972;3784;38;16;1856;3784;38
